Alunos de Graduação,
Unidades,Número
EESC,2596
IAU,285
ICMC,1306
IFSC,470
IQSC,306
Programas Conjuntos,
EESC e ICMC - Eng. Computação,310
Licenciatura Ciência Exatas,136
Total,5409
